country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","26-11-2025 13:00:00",23.023389,72.515201,NO2,13,64,25
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","26-11-2025 13:00:00",23.023389,72.515201,SO2,23,37,29
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","26-11-2025 13:00:00",23.076793,72.627874,OZONE,9,66,37
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","26-11-2025 13:00:00",21.613267,73.010555,PM2.5,90,283,132
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","26-11-2025 13:00:00",21.613267,73.010555,NH3,9,10,10
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","26-11-2025 13:00:00",21.613267,73.010555,SO2,36,37,36
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","26-11-2025 13:00:00",21.613267,73.010555,OZONE,34,56,36
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","26-11-2025 13:00:00",23.243639,72.68994,SO2,3,9,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","26-11-2025 13:00:00",23.221714,72.654328,PM2.5,57,82,68
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","26-11-2025 13:00:00",23.221714,72.654328,NO2,17,32,20
India,Gujarat,Surat,"Science Center, Surat - SMC","26-11-2025 13:00:00",21.170046,72.795405,SO2,32,43,36
India,Gujarat,Surat,"Science Center, Surat - SMC","26-11-2025 13:00:00",21.170046,72.795405,CO,38,44,42
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-11-2025 13:00:00",20.362421,72.918013,PM2.5,35,142,77
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","26-11-2025 13:00:00",28.39072,77.30059,NH3,10,12,11
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","26-11-2025 13:00:00",28.39072,77.30059,SO2,8,9,8
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","26-11-2025 13:00:00",28.39072,77.30059,OZONE,26,35,31
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","26-11-2025 13:00:00",28.4417,77.3217,NH3,11,12,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","26-11-2025 13:00:00",28.4417,77.3217,OZONE,17,19,18
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-11-2025 13:00:00",29.503664,75.467934,PM2.5,142,333,258
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","26-11-2025 13:00:00",29.503664,75.467934,CO,25,35,26
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","26-11-2025 13:00:00",28.674045,77.131023,CO,16,109,41
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-11-2025 13:00:00",28.639652,77.146275,PM2.5,273,393,336
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-11-2025 13:00:00",28.639652,77.146275,OZONE,1,3,1
India,Delhi,Delhi,"Pusa, Delhi - IMD","26-11-2025 13:00:00",28.636110,77.173332,PM2.5,251,410,340
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","26-11-2025 13:00:00",28.563262,77.186937,NH3,5,6,5
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","26-11-2025 13:00:00",28.3419248,77.319699,OZONE,15,16,15
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","26-11-2025 13:00:00",28.806223,76.141105,PM10,136,165,150
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","26-11-2025 13:00:00",28.806223,76.141105,OZONE,7,19,12
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","26-11-2025 13:00:00",28.593883,76.270653,NO2,9,25,16
India,Delhi,Delhi,"Rohini, Delhi - DPCC","26-11-2025 13:00:00",28.732528,77.119920,SO2,12,28,16
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","26-11-2025 13:00:00",28.6514781,77.1473105,NH3,9,18,13
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","26-11-2025 13:00:00",28.5504249,77.2159377,NO2,48,71,59
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","26-11-2025 13:00:00",28.710508,77.249485,PM10,149,416,281
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","26-11-2025 13:00:00",22.977134,72.553024,OZONE,15,42,27
